Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	3	8	1250	95	96	1. HANE	0.375000
2	9	La4#4	A4#4	309	309	1	8	417	95	96		0.500000
3	9	Si4b1	B4b1	313	313	1	4	833	95	96		0.750000
4	9	Do5	C5	318	318	1	4	833	95	96		1.000000
5	9	Si4b1	B4b1	313	313	1	8	417	95	96		1.125000
6	9	Re5	D5	327	327	1	8	417	95	96		1.250000
7	9	Do5	C5	318	318	1	8	417	95	96		1.375000
8	9	Si4b1	B4b1	313	313	1	8	417	95	96		1.500000
9	9	La4#4	A4#4	309	309	1	8	417	95	96		1.625000
10	9	Si4b1	B4b1	313	313	1	8	417	95	96		1.750000
11	9	Sol4	G4	296	296	1	4	833	95	96		2.000000
12	9	Re5	D5	327	327	1	8	417	95	96		2.125000
13	9	Mi5b1	E5b1	335	335	1	8	417	95	96		2.250000
14	9	Fa5	F5	340	340	1	8	417	95	96		2.375000
15	9	Mi5b1	E5b1	335	335	1	8	417	95	96		2.500000
16	9	Re5	D5	327	327	1	4	833	95	96		2.750000
17	9	Do5	C5	318	318	1	8	417	95	96		2.875000
18	9	Si4b1	B4b1	313	313	1	8	417	95	96		3.000000
19	9	Do5	C5	318	318	3	16	625	95	96		3.187500
20	9	Si4b1	B4b1	313	313	1	16	208	95	90		3.250000
21	9	Do5	C5	318	318	1	8	417	95	96		3.375000
22	9	Re5	D5	327	327	1	8	417	95	96		3.500000
23	9	Do5	C5	318	318	1	8	417	95	96		3.625000
24	9	Re5	D5	327	327	1	8	417	95	96		3.750000
25	9	Do5	C5	318	318	1	8	417	95	96		3.875000
26	9	Si4b1	B4b1	313	313	1	8	417	95	96		4.000000
27	9	Si4b1	B4b1	313	313	3	16	625	95	96		4.187500
28	9	La4#4	A4#4	309	309	1	16	208	95	90		4.250000
29	9	Sol4	G4	296	296	1	8	417	95	96		4.375000
30	9	La4#4	A4#4	309	309	1	8	417	95	96		4.500000
31	9	Si4b1	B4b1	313	313	3	8	1250	95	96		4.875000
32	9	Do5	C5	318	318	1	8	417	95	96		5.000000
33	9	Re5	D5	327	327	1	2	1667	95	96		5.500000
34	9	Re5	D5	327	327	1	8	417	95	96		5.625000
35	9	Do5	C5	318	318	1	8	417	95	96		5.750000
36	9	Do5	C5	318	318	1	8	417	95	96		5.875000
37	9	Si4b1	B4b1	313	313	1	8	417	95	96		6.000000
38	9	Re5	D5	327	327	1	16	208	95	96		6.062500
39	9	Mi5b2	E5b1	334	335	1	16	208	95	90		6.125000
40	9	Fa5#4	F5#4	344	344	1	4	833	95	96		6.375000
41	9	Mi5b2	E5b1	334	335	1	16	208	95	96		6.437500
42	11	Re5	D5	327	327	1	16	208	95	90		6.500000
43	9	Re5	D5	327	327	1	4	833	95	96		6.750000
44	9	Es	Es	-1	-1	1	4	833	100	0		7.000000
45	9	Re5	D5	327	327	1	4	833	95	96		7.250000
46	9	Mi5b1	E5b1	335	335	1	8	417	95	96		7.375000
47	9	Fa5#4	F5#4	344	344	1	8	417	95	96		7.500000
48	9	Sol5	G5	349	349	1	2	1667	95	96		8.000000
49	9	Sol5	G5	349	349	1	16	208	95	96		8.062500
50	9	Fa5#4	F5#4	344	344	1	16	208	95	90		8.125000
51	9	Sol5	G5	349	349	1	16	208	95	96		8.187500
52	9	La5	A5	358	358	1	16	208	95	90		8.250000
53	9	Sol5	G5	349	349	1	8	417	95	96		8.375000
54	9	Fa5#4	F5#4	344	344	1	8	417	95	96		8.500000
55	9	Fa5#4	F5#4	344	344	3	16	625	95	96		8.687500
56	9	Mi5b1	E5b1	335	335	1	16	208	95	90		8.750000
57	9	Re5	D5	327	327	1	4	833	95	96		9.000000
58	9	Re5	D5	327	327	1	8	417	95	96		9.125000
59	9	Sol5	G5	349	349	1	8	417	95	96		9.250000
60	9	Fa5#4	F5#4	344	344	1	8	417	95	96		9.375000
61	9	Sol5	G5	349	349	1	8	417	95	96		9.500000
62	9	Mi5b1	E5b1	335	335	1	8	417	95	96		9.625000
63	9	Fa5	F5	340	340	1	8	417	95	96		9.750000
64	9	Re5	D5	327	327	1	8	417	95	96		9.875000
65	9	Mi5b1	E5b1	335	335	1	8	417	95	96		10.000000
66	9	Re5	D5	327	327	3	16	625	95	96		10.187500
67	9	Do5	C5	318	318	1	16	208	95	90		10.250000
68	9	Si4b1	B4b1	313	313	1	8	417	95	96		10.375000
69	9	Do5	C5	318	318	1	8	417	95	96		10.500000
70	9	Re5	D5	327	327	1	2	1667	95	96		11.000000
71	9	Es	Es	-1	-1	1	8	417	100	0		11.125000
72	9	Re5	D5	327	327	1	4	833	95	96		11.375000
73	9	Mi5b1	E5b1	335	335	1	8	417	95	96		11.500000
74	9	Re5	D5	327	327	3	16	625	95	96		11.687500
75	9	Do5	C5	318	318	1	16	208	95	90		11.750000
76	9	Si4b1	B4b1	313	313	1	4	833	95	96		12.000000
77	9	Re5	D5	327	327	1	16	208	95	96		12.062500
78	9	Do5	C5	318	318	1	16	208	95	90		12.125000
79	9	Re5	D5	327	327	1	16	208	95	96		12.187500
80	9	Mi5b1	E5b1	335	335	1	16	208	95	90		12.250000
81	9	Re5	D5	327	327	1	8	417	95	96		12.375000
82	9	Do5	C5	318	318	1	8	417	95	96		12.500000
83	9	Si4b1	B4b1	313	313	3	16	625	95	96		12.687500
84	9	La4#4	A4#4	309	309	1	16	208	95	90		12.750000
85	9	Sol4	G4	296	296	1	8	417	95	96		12.875000
86	9	La4#4	A4#4	309	309	1	8	417	95	96		13.000000
87	9	Si4b1	B4b1	313	313	3	4	2500	95	96		13.750000
88	9	Es	Es	-1	-1	1	4	833	100	0		14.000000
89	9	Si4b1	B4b1	313	313	1	8	417	95	96	TESLİM	14.125000
90	9	Do5	C5	318	318	1	8	417	95	96		14.250000
91	9	Si4b1	B4b1	313	313	1	8	417	95	96		14.375000
92	9	Do5	C5	318	318	1	8	417	95	96		14.500000
93	9	Re5	D5	327	327	1	2	1667	95	96		15.000000
94	9	Mi5b2	E5b1	334	335	1	4	833	95	96		15.250000
95	9	Re5	D5	327	327	1	8	417	95	96		15.375000
96	9	Mi5b2	E5b1	334	335	1	8	417	95	96		15.500000
97	9	Fa5#4	F5#4	344	344	1	4	833	95	96		15.750000
98	9	Mi5b2	E5b1	334	335	1	8	417	95	96		15.875000
99	9	Re5	D5	327	327	1	8	417	95	96		16.000000
100	9	Re5	D5	327	327	1	8	417	95	96		16.125000
101	9	Mi5b2	E5b1	334	335	1	8	417	95	96		16.250000
102	9	Fa5#4	F5#4	344	344	1	8	417	95	96		16.375000
