Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	La4	A4	305	305	1	4	500	95	96	ARANAÐME 
2	9	Si4b5	B4b5	309	309	1	8	250	95	96	.
3	9	Do5#4	C5#4	322	322	1	8	250	95	96	.
4	9	Re5	D5	327	327	1	8	250	95	96	.
5	9	Mi5	E5	336	336	1	8	250	95	96	.
6	9	Sol5	G5	349	349	1	8	250	95	96	.
7	9	Fa5	F5	340	340	1	8	250	95	96	.
8	9	Mi5	E5	336	336	1	8	250	95	96	.
9	9	Re5	D5	327	327	1	8	250	95	96	.
10	9	Mi5	E5	336	336	1	8	250	95	96	.
11	9	Fa5	F5	340	340	1	8	250	95	96	.
12	9	Sol5	G5	349	349	1	8	250	95	96	.
13	9	La5	A5	358	358	1	8	250	95	96	.
14	9	Mi5	E5	336	336	1	8	250	95	96	.
15	9	Fa5	F5	340	340	1	8	250	95	96	.
16	9	Sol5	G5	349	349	1	8	250	95	96	.
17	9	La5	A5	358	358	3	8	750	95	96	.
18	9	Si5b5	B5b5	362	362	3	16	375	95	96	.
19	9	La5	A5	358	358	1	16	125	95	96	.
20	9	Sol5	G5	349	349	1	8	250	95	96	.
21	9	Si5b5	B5b5	362	362	1	4	500	95	96	.
22	9	La5	A5	358	358	1	8	250	95	96	.
23	9	Sol5	G5	349	349	1	8	250	95	96	.
24	9	Fa5	F5	340	340	1	8	250	95	96	.
25	9	Mi5	E5	336	336	1	8	250	95	96	.
26	9	Re5	D5	327	327	1	8	250	95	96	.
27	9	La4	A4	305	305	1	8	250	95	96	.
28	9	Si4b5	B4b5	309	309	1	8	250	95	96	.
29	9	Do5#4	C5#4	322	322	1	8	250	95	96	.
30	9	Fa5	F5	340	340	1	8	250	95	96	.
31	9	Mi5	E5	336	336	1	8	250	95	96	.
32	9	Re5	D5	327	327	1	8	250	95	96	.
33	9	Do5#4	C5#4	322	322	1	8	250	95	96	.
34	9	Re5	D5	327	327	3	8	750	95	96	.
35	9	Do5	C5	318	318	1	4	500	95	96	.
36	9	Do5	C5	318	318	1	8	250	95	96	.
37	9	Re5	D5	327	327	1	4	500	95	96	.
38	9	Si4b5	B4b5	309	309	1	8	250	95	96	.
39	9	La4	A4	305	305	1	8	250	95	96	.
40	9	Sol4	G4	296	296	3	8	750	95	96	.
41	9	Re5	D5	327	327	1	8	250	95	96	.
42	9	Do5	C5	318	318	1	8	250	95	96	.
43	9	Si4b5	B4b5	309	309	1	8	250	95	96	.
44	9	La4	A4	305	305	1	8	250	95	96	.
45	9	Sol4	G4	296	296	1	8	250	95	96	.
46	9	Fa4	F4	287	287	1	8	250	95	96	.
47	9	Mi4	E4	283	283	1	8	250	95	96	.
48	9	Fa4	F4	287	287	3	8	750	95	96	.
49	9	Re4	D4	274	274	1	8	250	95	96	.
50	9	Mi4	E4	283	283	1	8	250	95	96	.
51	9	Fa4	F4	287	287	1	8	250	95	96	.
52	9	Sol4	G4	296	296	1	8	250	95	96	.
53	9	La4	A4	305	305	1	8	250	95	96	.
54	9	Sol4	G4	296	296	1	8	250	95	96	.
55	9	La4	A4	305	305	1	8	250	95	96	.
56	9	Fa4	F4	287	287	1	8	250	95	96	.
57	9	Mi4	E4	283	283	1	8	250	95	96	.
58	9	Re4	D4	274	274	1	8	250	95	96	.
59	9	Mi4	E4	283	283	1	8	250	95	96	.
60	9	Sol4	G4	296	296	1	8	250	95	96	.
61	9	Fa4	F4	287	287	1	8	250	95	96	.
62	9	Mi4	E4	283	283	1	8	250	95	96	.
63	9	Re4	D4	274	274	1	8	250	95	96	.
64	9	Do4#4	C4#4	269	269	1	8	250	95	96	.
65	9	Mi4	E4	283	283	1	8	250	95	96	.
66	9	Re4	D4	274	274	3	8	750	95	96	.
67	9	La4	A4	305	305	1	4	500	95	96	ARANAÐME 
68	9	Si4b5	B4b5	309	309	1	8	250	95	96	.
69	9	Do5#4	C5#4	322	322	1	8	250	95	96	.
70	9	Re5	D5	327	327	1	8	250	95	96	.
71	9	Mi5	E5	336	336	1	8	250	95	96	.
72	9	Sol5	G5	349	349	1	8	250	95	96	.
73	9	Fa5	F5	340	340	1	8	250	95	96	.
74	9	Mi5	E5	336	336	1	8	250	95	96	.
75	9	Re5	D5	327	327	1	8	250	95	96	.
76	9	Mi5	E5	336	336	1	8	250	95	96	.
77	9	Fa5	F5	340	340	1	8	250	95	96	.
78	9	Sol5	G5	349	349	1	8	250	95	96	.
79	9	La5	A5	358	358	1	8	250	95	96	.
80	9	Mi5	E5	336	336	1	8	250	95	96	.
81	9	Fa5	F5	340	340	1	8	250	95	96	.
82	9	Sol5	G5	349	349	1	8	250	95	96	.
83	9	La5	A5	358	358	3	8	750	95	96	.
84	9	Si5b5	B5b5	362	362	3	16	375	95	96	.
85	9	La5	A5	358	358	1	16	125	95	96	.
86	9	Sol5	G5	349	349	1	8	250	95	96	.
87	9	Si5b5	B5b5	362	362	1	4	500	95	96	.
88	9	La5	A5	358	358	1	8	250	95	96	.
89	9	Sol5	G5	349	349	1	8	250	95	96	.
90	9	Fa5	F5	340	340	1	8	250	95	96	.
91	9	Mi5	E5	336	336	1	8	250	95	96	.
