Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	769	95	96	Ey 	0.166667
2	9	Mi5	E5	336	336	1	4	769	95	96	gül 	0.333333
3	9	Fa5#5	F5#5	345	345	3	16	577	99	96	ne 	0.458333
4	9	Mi5	E5	336	336	1	16	192	95	96		0.500000
5	9	Sol5	G5	349	349	3	16	577	99	96	a	0.625000
6	9	Fa5#5	F5#5	345	345	1	16	192	95	96		0.666667
7	9	Mi5	E5	336	336	1	8	385	99	96	cep 	0.750000
8	9	Re5	D5	327	327	1	8	385	99	96		0.833333
9	9	Do5#3	C5#4	321	322	1	8	385	99	96		0.916667
10	9	Si4	B4	314	314	1	8	385	95	96		1.000000
11	9	Do5#3	C5#4	321	322	1	2	1538	95	96	sil	1.333333
12	9	Do5#3	C5#4	321	322	1	16	192	99	96	si	1.375000
13	9	Si4	B4	314	314	1	16	192	99	96		1.416667
14	9	Do5#3	C5#4	321	322	1	8	385	95	96		1.500000
15	9	Re5	D5	327	327	1	8	385	99	96	le 	1.583333
16	9	Mi5	E5	336	336	1	8	385	95	96		1.666667
17	9	Do5#3	C5#4	321	322	3	16	577	99	96	i 	1.791667
18	9	Si4	B4	314	314	1	16	192	99	96		1.833333
19	9	La4	A4	305	305	1	4	769	95	96		2.000000
20	9	Mi5	E5	336	336	3	16	577	99	96	müşk_	2.125000
21	9	Re5	D5	327	327	1	16	192	99	96		2.166667
22	9	Do5#3	C5#4	321	322	1	4	769	95	96		2.333333
23	9	Re5	D5	327	327	1	4	769	95	96	i 	2.500000
24	9	Mi5	E5	336	336	1	8	385	99	96	te	2.583333
25	9	Fa5#5	F5#5	345	345	1	8	385	95	96		2.666667
26	9	Mi5	E5	336	336	1	16	192	99	96	rin 	2.708333
27	9	Re5	D5	327	327	1	16	192	99	96		2.750000
28	9	Do5#3	C5#4	321	322	1	16	192	99	96		2.791667
29	9	Si4	B4	314	314	1	16	192	99	96		2.833333
30	9	Do5#3	C5#4	321	322	1	4	769	95	96		3.000000
31	9	Si4	B4	314	314	1	16	192	99	96	var  	3.041667
32	9	Do5#3	C5#4	321	322	1	16	192	99	96		3.083333
33	9	Si4	B4	314	314	1	8	385	99	96		3.166667
34	9	Do5#3	C5#4	321	322	1	16	192	99	96		3.208333
35	9	Re5	D5	327	327	1	16	192	99	96		3.250000
36	9	Do5#3	C5#4	321	322	1	8	385	99	96		3.333333
37	9	Re5	D5	327	327	1	8	385	99	96		3.416667
38	10	Mi5	E5	336	336	1	8	385	99	96		3.500000
39	8	Fa5#5	F5#5	345	345	0	0	0	99	96		3.500000
40	9	Mi5	E5	336	336	1	16	192	99	96		3.541667
41	9	Re5	D5	327	327	1	16	192	99	96		3.583333
42	9	Do5#3	C5#4	321	322	1	16	192	99	96		3.625000
43	9	Re5	D5	327	327	1	16	192	99	96		3.666667
44	9	Mi5	E5	336	336	1	2	1538	95	96		4.000000
45	9	La4	A4	305	305	1	4	769	95	96	Ey 	4.166667
46	9	Mi5	E5	336	336	1	4	769	99	96	şûh 	4.333333
47	9	Mi5	E5	336	336	1	8	385	99	96		4.416667
48	9	Fa5#5	F5#5	345	345	1	8	385	95	96		4.500000
49	9	La5	A5	358	358	1	16	192	99	96	ne 	4.541667
50	9	Sol5	G5	349	349	1	16	192	99	96		4.583333
51	9	Fa5#5	F5#5	345	345	1	16	192	99	96		4.625000
52	9	Mi5	E5	336	336	1	16	192	95	96		4.666667
53	9	Mi5	E5	336	336	1	16	192	99	96	hoş 	4.708333
54	9	Re5	D5	327	327	1	16	192	99	96		4.750000
55	9	Do5#3	C5#4	321	322	1	16	192	99	96		4.791667
56	9	Si4	B4	314	314	1	16	192	99	96		4.833333
57	9	Do5#3	C5#4	321	322	1	4	769	95	96		5.000000
58	9	Re5	D5	327	327	1	2	1538	95	96	can 	5.333333
59	9	Re5	D5	327	327	1	4	769	95	96	a	5.500000
60	9	Do5#3	C5#4	321	322	1	8	385	99	96	lı	5.583333
61	9	Re5	D5	327	327	1	8	385	95	96		5.666667
62	9	Mi5	E5	336	336	1	16	192	99	96	cı 	5.708333
63	9	Fa5#5	F5#5	345	345	1	16	192	99	96		5.750000
64	9	Mi5	E5	336	336	1	16	192	99	96		5.791667
65	9	Re5	D5	327	327	1	16	192	99	96		5.833333
66	9	Do5#3	C5#4	321	322	3	16	577	99	96		5.958333
67	9	Si4	B4	314	314	1	16	192	99	96		6.000000
68	9	La4	A4	305	305	1	4	769	95	96		6.166667
69	9	Fa5#5	F5#5	345	345	3	16	577	99	96	iş	6.291667
70	9	Mi5	E5	336	336	1	16	192	95	96		6.333333
71	9	Mi5	E5	336	336	3	16	577	99	96	ve	6.458333
72	9	Re5	D5	327	327	1	16	192	95	96		6.500000
73	9	Mi5	E5	336	336	1	16	192	99	96	le	6.541667
74	9	Re5	D5	327	327	1	16	192	99	96		6.583333
75	9	Do5#3	C5#4	321	322	1	16	192	99	96		6.625000
76	9	Si4	B4	314	314	1	16	192	95	96		6.666667
77	9	Do5#3	C5#4	321	322	1	2	1538	95	96	rin 	7.000000
78	9	La4	A4	305	305	3	16	577	99	96	var  	7.125000
79	9	Do5#3	C5#4	321	322	1	16	192	99	96		7.166667
80	9	Si4	B4	314	314	3	16	577	99	96		7.291667
81	9	Re5	D5	327	327	1	16	192	99	96		7.333333
82	9	Do5#3	C5#4	321	322	3	16	577	99	96		7.458333
83	9	Si4	B4	314	314	1	16	192	99	96		7.500000
84	9	Si4	B4	314	314	1	16	192	99	96		7.541667
85	9	Do5#3	C5#4	321	322	1	16	192	99	96		7.583333
86	9	Si4	B4	314	314	1	16	192	99	96		7.625000
87	11	La4	A4	305	305	1	16	192	99	96		7.666667
88	9	La4	A4	305	305	1	2	1538	95	96		8.000000
89	9	Re5	D5	327	327	1	16	192	99	96	Gel 	8.041667
90	9	Do5#3	C5#4	321	322	1	16	192	99	96		8.083333
91	9	Si4	B4	314	314	1	16	192	99	96		8.125000
92	9	La4	A4	305	305	1	16	192	95	96		8.166667
93	9	Si4	B4	314	314	1	8	385	99	96	ça	8.250000
