Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Sol4	G4	296	296	1	4	909	95	96	ARANAÐME
2	9	Si4b1	B4b1	313	313	1	4	909	95	96	.
3	9	La4	A4	305	305	1	8	455	95	96	.
4	9	Sol4	G4	296	296	1	8	455	95	96	.
5	9	La4	A4	305	305	1	8	455	95	96	.
6	9	Si4b1	B4b1	313	313	1	8	455	95	96	.
7	9	Do5	C5	318	318	1	8	455	95	96	.
8	9	Mi5	E5	336	336	1	8	455	95	96	.
9	9	Re5	D5	327	327	1	8	455	95	96	.
10	9	Do5	C5	318	318	1	8	455	95	96	.
11	9	Si4b1	B4b1	313	313	1	4	909	95	96	.
12	9	Sol4	G4	296	296	1	8	455	95	96	.
13	9	La4	A4	305	305	1	16	227	95	96	.
14	9	Sol4	G4	296	296	1	16	227	95	96	.
15	9	La4	A4	305	305	1	16	227	95	96	.
16	9	Si4b1	B4b1	313	313	1	16	227	95	96	.
17	9	La4	A4	305	305	1	16	227	95	96	.
18	9	Sol4	G4	296	296	1	16	227	95	96	.
19	9	Fa4#4	F4#4	291	291	1	16	227	95	96	.
20	9	Mi4	E4	283	283	1	16	227	95	96	.
21	9	Re4	D4	274	274	1	8	455	95	96	.
22	9	Sol4	G4	296	296	1	4	909	95	96	ARANAÐME
23	9	Si4b1	B4b1	313	313	1	4	909	95	96	.
24	9	La4	A4	305	305	1	8	455	95	96	.
25	9	Sol4	G4	296	296	1	8	455	95	96	.
26	9	La4	A4	305	305	1	8	455	95	96	.
27	9	Si4b1	B4b1	313	313	1	8	455	95	96	.
28	9	Do5	C5	318	318	1	8	455	95	96	.
29	9	Mi5	E5	336	336	1	8	455	95	96	.
30	9	Re5	D5	327	327	1	8	455	95	96	.
31	9	Do5	C5	318	318	1	8	455	95	96	.
32	9	Si4b1	B4b1	313	313	1	4	909	95	96	.
33	9	Sol4	G4	296	296	1	8	455	95	96	.
34	9	La4	A4	305	305	1	16	227	95	96	.
35	9	Sol4	G4	296	296	1	16	227	95	96	.
36	9	La4	A4	305	305	1	16	227	95	96	.
37	9	Si4b1	B4b1	313	313	1	16	227	95	96	.
38	9	Sol4	G4	296	296	3	8	1364	95	96	.
39	9	Sol4	G4	296	296	1	4	909	95	96	Es
