Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	La5	A5	358	358	1	4	545	95	96	ARANAÐME 
2	9	Do6	C6	371	371	1	8	273	95	96	.
3	9	Si5	B5	367	367	1	8	273	95	96	.
4	9	La5	A5	358	358	1	8	273	95	96	.
5	9	Sol5	G5	349	349	1	8	273	95	96	.
6	9	Fa5#4	F5#4	344	344	1	8	273	95	96	.
7	9	Mi5	E5	336	336	1	4	545	95	96	.
8	9	Fa5#4	F5#4	344	344	1	8	273	95	96	.
9	9	Sol5	G5	349	349	1	4	545	95	96	.
10	9	Si5b4	B5b4	363	363	1	8	273	95	96	.
11	9	La5	A5	358	358	1	8	273	95	96	.
12	9	Sol5	G5	349	349	1	8	273	95	96	.
13	9	Fa5	F5	340	340	1	8	273	95	96	.
14	9	Mi5	E5	336	336	1	8	273	95	96	.
15	9	Re5	D5	327	327	1	4	545	95	96	.
16	9	Mi5	E5	336	336	1	8	273	95	96	.
17	9	Fa5	F5	340	340	1	4	545	95	96	.
18	9	La5	A5	358	358	1	8	273	95	96	.
19	9	Sol5	G5	349	349	1	8	273	95	96	.
20	9	Fa5	F5	340	340	1	8	273	95	96	.
21	9	Mi5	E5	336	336	1	8	273	95	96	.
22	9	Re5	D5	327	327	1	8	273	95	96	.
23	9	Do5#4	C5#4	322	322	1	8	273	95	96	.
24	9	Si4b4	B4b4	310	310	1	8	273	95	96	.
25	9	La4	A4	305	305	1	8	273	95	96	.
26	9	La4	A4	305	305	3	16	409	95	96	.
27	9	Si4b4	B4b4	310	310	1	16	136	95	96	.
28	9	Do5#4	C5#4	322	322	1	8	273	95	96	.
29	9	Re5	D5	327	327	1	8	273	95	96	.
30	9	Mi5	E5	336	336	1	8	273	95	96	.
31	9	Fa5#4	F5#4	344	344	1	8	273	95	96	.
32	9	Sol5	G5	349	349	1	8	273	95	96	.
33	9	La5	A5	358	358	3	8	818	95	96	.
34	9	La5	A5	358	358	1	4	545	95	96	ARANAÐME 
35	9	Do6	C6	371	371	1	8	273	95	96	.
36	9	Si5	B5	367	367	1	8	273	95	96	.
37	9	La5	A5	358	358	1	8	273	95	96	.
38	9	Sol5	G5	349	349	1	8	273	95	96	.
39	9	Fa5#4	F5#4	344	344	1	8	273	95	96	.
40	9	Mi5	E5	336	336	1	4	545	95	96	.
41	9	Fa5#4	F5#4	344	344	1	8	273	95	96	.
42	9	Sol5	G5	349	349	1	4	545	95	96	.
43	9	Si5b4	B5b4	363	363	1	8	273	95	96	.
44	9	La5	A5	358	358	1	8	273	95	96	.
45	9	Sol5	G5	349	349	1	8	273	95	96	.
46	9	Fa5	F5	340	340	1	8	273	95	96	.
47	9	Mi5	E5	336	336	1	8	273	95	96	.
48	9	Re5	D5	327	327	1	4	545	95	96	.
49	9	Mi5	E5	336	336	1	8	273	95	96	.
