Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5	E5	336	336	1	4	714	99	96	Ah 	0.111111111111
2	9	Fa5	F5	340	340	3	4	2143	95	96		0.444444444444
3	9	Do5	C5	318	318	1	2	1429	95	96	sul	0.666666666667
4	9	Fa5	F5	340	340	1	8	357	99	96	tân_	0.722222222222
5	9	Mi5	E5	336	336	1	8	357	99	96		0.777777777778
6	9	Fa5	F5	340	340	1	4	714	95	96		0.888888888889
7	9	Es	Es	-1	-1	1	4	714	100	0		1.0
8	9	Sol5	G5	349	349	1	8	357	99	96	ı 	1.05555555556
9	9	La5b4	A5b4	354	354	1	8	357	99	96		1.11111111111
10	9	Sol5	G5	349	349	1	8	357	99	96		1.16666666667
11	9	Fa5	F5	340	340	1	8	357	99	96		1.22222222222
12	9	Si5b5	B5b5	362	362	1	4	714	99	96		1.33333333333
13	9	La5b4	A5b4	354	354	1	8	357	95	96		1.38888888889
14	9	Sol5	G5	349	349	1	8	357	95	96	me	1.44444444444
15	9	Sol5	G5	349	349	3	16	536	99	96	nî 	1.52777777778
16	9	Fa5	F5	340	340	1	16	179	99	96		1.55555555556
17	9	Mi5	E5	336	336	1	8	357	99	96		1.61111111111
18	9	Fa5	F5	340	340	1	8	357	99	96		1.66666666667
19	9	Mi5	E5	336	336	1	8	357	99	96		1.72222222222
20	9	Sol5	G5	349	349	1	8	357	99	96		1.77777777778
21	9	Fa5	F5	340	340	1	4	714	95	96		1.88888888889
22	9	Es	Es	-1	-1	1	4	714	100	0		2.0
23	9	Do5	C5	318	318	1	4	714	95	96	SAZ	2.11111111111
24	9	Fa5	F5	340	340	1	8	357	95	96	.	2.16666666667
25	9	Fa5	F5	340	340	1	8	357	95	96	.	2.22222222222
26	9	Fa5	F5	340	340	1	16	179	95	96	.	2.25
27	9	Sol5	G5	349	349	1	16	179	95	96	.	2.27777777778
28	9	Fa5	F5	340	340	1	16	179	95	96	.	2.30555555556
29	9	Mi5	E5	336	336	1	16	179	95	96	.	2.33333333333
30	9	Fa5	F5	340	340	1	4	714	95	96	.	2.44444444444
31	9	Do5	C5	318	318	1	2	1429	95	96	sul	2.66666666667
32	9	Fa5	F5	340	340	1	8	357	99	96	tân_	2.72222222222
33	9	Mi5	E5	336	336	1	8	357	99	96		2.77777777778
34	9	Fa5	F5	340	340	1	4	714	95	96		2.88888888889
35	9	Es	Es	-1	-1	1	4	714	100	0		3.0
36	9	Sol5	G5	349	349	1	8	357	99	96	ı 	3.05555555556
37	9	La5b4	A5b4	354	354	1	8	357	99	96		3.11111111111
38	9	Sol5	G5	349	349	1	8	357	99	96		3.16666666667
39	9	Fa5	F5	340	340	1	8	357	99	96		3.22222222222
40	9	Si5b5	B5b5	362	362	1	4	714	99	96		3.33333333333
41	9	La5b4	A5b4	354	354	1	8	357	95	96		3.38888888889
42	9	Sol5	G5	349	349	1	8	357	95	96	me	3.44444444444
43	9	Sol5	G5	349	349	3	16	536	99	96	nî  	3.52777777778
44	9	Fa5	F5	340	340	1	16	179	99	96		3.55555555556
45	9	Mi5	E5	336	336	1	8	357	99	96		3.61111111111
46	9	Fa5	F5	340	340	1	8	357	99	96		3.66666666667
47	9	Mi5	E5	336	336	1	8	357	99	96		3.72222222222
48	9	Fa5	F5	340	340	1	8	357	99	96		3.77777777778
49	9	Mi5	E5	336	336	1	8	357	99	96		3.83333333333
50	9	Fa5	F5	340	340	1	8	357	99	96		3.88888888889
51	9	Mi5	E5	336	336	1	8	357	99	96		3.94444444444
52	9	Re5	D5	327	327	1	8	357	99	96		4.0
53	9	Fa5	F5	340	340	3	16	536	99	96		4.08333333333
54	9	Mi5	E5	336	336	1	16	179	99	96		4.11111111111
55	9	Re5	D5	327	327	1	8	357	99	96		4.16666666667
56	9	Mi5	E5	336	336	1	8	357	99	96		4.22222222222
57	9	Re5	D5	327	327	1	8	357	99	96		4.27777777778
58	9	Mi5	E5	336	336	1	8	357	99	96		4.33333333333
59	9	Re5	D5	327	327	1	8	357	99	96		4.38888888889
60	9	Do5	C5	318	318	1	8	357	95	96		4.44444444444
61	9	Re5	D5	327	327	3	8	1071	99	96	En	4.61111111111
62	9	Fa5	F5	340	340	1	8	357	95	96		4.66666666667
63	9	Mi5	E5	336	336	3	16	536	99	96	der 	4.75
64	9	Re5	D5	327	327	1	16	179	99	96		4.77777777778
65	9	Do5	C5	318	318	1	2	1429	95	96		5.0
66	9	Re5	D5	327	327	1	8	357	99	96	dil_	5.05555555556
67	9	Mi5b3	E5b4	333	332	1	8	357	99	96		5.11111111111
68	9	Re5	D5	327	327	1	8	357	99	96		5.16666666667
69	9	Do5	C5	318	318	1	8	357	99	96		5.22222222222
70	9	Sol5	G5	349	349	1	8	357	99	96		5.27777777778
71	9	Fa5#3	F5#4	343	344	1	8	357	99	96		5.33333333333
72	9	Mi5b3	E5b4	333	332	1	8	357	95	96		5.38888888889
73	9	Re5	D5	327	327	1	8	357	95	96	ü 	5.44444444444
74	9	Re5	D5	327	327	3	16	536	99	96	cân 	5.52777777778
75	9	Do5	C5	318	318	1	16	179	99	96		5.55555555556
76	9	Si4b1	B4b1	313	313	1	8	357	99	96		5.61111111111
77	9	Do5	C5	318	318	1	8	357	99	96		5.66666666667
78	9	Si4b1	B4b1	313	313	1	8	357	99	96		5.72222222222
79	9	Re5	D5	327	327	1	8	357	99	96		5.77777777778
80	9	Do5	C5	318	318	3	8	1071	95	96		5.94444444444
81	9	Es	Es	-1	-1	1	8	357	100	0		6.0
82	9	Do5	C5	318	318	1	8	357	99	96	cân 	6.05555555556
83	9	Si4b1	B4b1	313	313	1	8	357	99	96		6.11111111111
