Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Si4b1	B4b1	313	313	1	2	1538	95	96	
2	9	Do5	C5	318	318	1	4	769	95	96	
3	9	Re5	D5	327	327	1	4	769	95	96	
4	9	Si4b1	B4b1	313	313	3	8	1154	95	96	
5	9	Do5	C5	318	318	1	8	385	95	96	
6	9	Si4b1	B4b1	313	313	1	4	769	95	96	
7	9	Do5	C5	318	318	1	8	385	95	96	
8	9	Re5	D5	327	327	1	8	385	95	96	
9	9	Do5	C5	318	318	1	4	769	95	96	
10	9	Si4b1	B4b1	313	313	1	4	769	95	96	
11	9	La4	A4	305	305	1	2	1538	95	96	
12	9	Si4b1	B4b1	313	313	1	4	769	95	96	
13	9	Do5	C5	318	318	1	4	769	95	96	
14	9	Si4b1	B4b1	313	313	1	4	769	95	96	
15	9	La4	A4	305	305	1	4	769	95	96	
16	9	Si4b1	B4b1	313	313	1	8	385	95	96	
17	9	Do5	C5	318	318	1	8	385	95	96	
18	9	Si4b1	B4b1	313	313	1	4	769	95	96	
19	9	Do5	C5	318	318	1	8	385	95	96	
20	9	Re5	D5	327	327	1	8	385	95	96	
21	9	Do5	C5	318	318	1	4	769	95	96	
22	9	Re5	D5	327	327	3	4	2308	95	96	
23	9	Re5	D5	327	327	1	8	385	95	96	
24	9	Re5	D5	327	327	1	8	385	95	96	
25	9	Re5	D5	327	327	1	4	769	95	96	
26	9	Re5	D5	327	327	2	4	1538	95	96	
27	9	Re5	D5	327	327	1	4	769	95	96	
28	9	Si4b1	B4b1	313	313	1	2	1538	95	96	
29	9	Do5	C5	318	318	1	4	769	95	96	
30	9	Re5	D5	327	327	1	4	769	95	96	
31	9	Si4b1	B4b1	313	313	1	4	769	95	96	
32	9	Do5	C5	318	318	1	4	769	95	96	
33	9	Si4b1	B4b1	313	313	1	4	769	95	96	
34	9	Si4b1	B4b1	313	313	1	4	769	95	96	
35	9	Re5	D5	327	327	1	8	385	95	96	
36	9	Re5	D5	327	327	1	8	385	95	96	
37	9	Re5	D5	327	327	1	4	769	95	96	
38	9	Re5	D5	327	327	1	2	1538	95	96	
39	9	Re5	D5	327	327	3	8	1154	95	96	
40	9	Mi5b1	E5b1	335	335	1	8	385	95	96	
41	9	Re5	D5	327	327	1	4	769	95	96	
42	9	Do5	C5	318	318	1	4	769	95	96	
43	9	Do5	C5	318	318	1	4	769	95	96	
44	9	Re5	D5	327	327	1	4	769	95	96	
45	9	Do5	C5	318	318	1	4	769	95	96	
46	9	Si4b1	B4b1	313	313	1	4	769	95	96	
47	9	Sol4	G4	296	296	1	8	385	95	96	
48	9	La4	A4	305	305	1	8	385	95	96	
49	9	Si4b1	B4b1	313	313	1	8	385	95	96	
50	9	Do5	C5	318	318	1	8	385	95	96	
51	9	Si4b1	B4b1	313	313	1	4	769	95	96	
52	9	Do5	C5	318	318	1	4	769	95	96	
53	9	Si4b1	B4b1	313	313	1	4	769	95	96	
54	9	La4	A4	305	305	1	4	769	95	96	
55	9	Sol4	G4	296	296	1	4	769	95	96	
56	9	Sol4	G4	296	296	1	4	769	95	96	
57	9	Si4b1	B4b1	313	313	1	2	1538	95	96	
58	9	Do5	C5	318	318	1	4	769	95	96	
59	9	Re5	D5	327	327	1	4	769	95	96	
60	9	Si4b1	B4b1	313	313	3	8	1154	95	96	
61	9	Do5	C5	318	318	1	8	385	95	96	
62	9	Si4b1	B4b1	313	313	1	4	769	95	96	
63	9	Do5	C5	318	318	1	8	385	95	96	
64	9	Re5	D5	327	327	1	8	385	95	96	
65	9	Do5	C5	318	318	1	4	769	95	96	
66	9	Si4b1	B4b1	313	313	1	4	769	95	96	
67	9	La4	A4	305	305	1	2	1538	95	96	
