Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	9	Sol5	G5	349	349	1	4	1000	95	96	1. HANE
2	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
3	9	Mi5	E5	336	336	1	4	1000	95	96	
4	10	Re5	D5	327	327	7	64	438	95	96	
5	8	Mi5	E5	336	336	1	64	62	95	96	
6	9	Re5	D5	327	327	1	16	250	95	96	
7	9	Do5#4	C5#4	322	322	1	16	250	95	96	
8	9	Si4	B4	314	314	1	8	500	95	96	
9	9	La4	A4	305	305	1	8	500	95	96	
10	9	Sol4	G4	296	296	1	8	500	95	96	
11	9	Sol5	G5	349	349	1	4	1000	95	96	
12	9	La5	A5	358	358	1	8	500	95	96	
13	9	Sol5	G5	349	349	1	8	500	95	96	
14	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
15	9	Mi5	E5	336	336	1	8	500	95	96	
16	9	Re5	D5	327	327	1	8	500	95	96	
17	9	Re5	D5	327	327	3	8	1500	95	96	
18	9	Si4	B4	314	314	1	8	500	95	96	
19	9	Si4	B4	314	314	1	16	250	95	96	
20	9	Do5#4	C5#4	322	322	1	16	250	95	96	
21	9	Re5	D5	327	327	1	8	500	95	96	
22	9	Mi5	E5	336	336	1	8	500	95	96	
23	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
24	9	Sol5	G5	349	349	1	8	500	95	96	
25	9	Fa5#4	F5#4	344	344	1	16	250	95	96	
26	9	Mi5	E5	336	336	1	16	250	95	96	
27	9	Re5	D5	327	327	1	16	250	95	96	
28	9	Do5#4	C5#4	322	322	1	16	250	95	96	
29	9	Si4	B4	314	314	2	8	1000	95	96	
30	9	Si4	B4	314	314	1	8	500	95	96	
31	9	La4	A4	305	305	1	8	500	95	96	
32	9	Sol4	G4	296	296	1	8	500	95	96	
33	9	La4	A4	305	305	3	16	750	95	96	
34	9	Si4b5	B4b5	309	309	1	16	250	95	96	
35	9	La4	A4	305	305	1	16	250	95	96	
36	9	Sol4	G4	296	296	1	16	250	95	96	
37	9	Fa4#4	F4#4	291	291	1	16	250	95	96	
38	9	Sol4	G4	296	296	1	16	250	95	96	
39	9	La4	A4	305	305	4	8	2000	95	96	
40	9	Fa4#4	F4#4	291	291	1	16	250	95	96	
41	9	Sol4	G4	296	296	1	16	250	95	96	
42	9	La4	A4	305	305	1	8	500	95	96	
43	9	Si4b1	B4b1	313	313	3	16	750	95	96	
44	9	Do5	C5	318	318	1	16	250	95	96	
45	9	Si4b1	B4b1	313	313	1	8	500	95	96	
46	9	La4	A4	305	305	1	8	500	95	96	
47	9	Si4b1	B4b1	313	313	3	16	750	95	96	
48	9	La4	A4	305	305	1	16	250	95	96	
49	9	Sol4	G4	296	296	1	8	500	95	96	
50	9	La4	A4	305	305	3	16	750	95	96	
51	9	Si4b1	B4b1	313	313	1	16	250	95	96	
52	9	La4	A4	305	305	1	16	250	95	96	
53	9	Sol4	G4	296	296	1	16	250	95	96	
54	9	Fa4#4	F4#4	291	291	1	16	250	95	96	
55	9	Mi4	E4	283	283	1	16	250	95	96	
56	9	Re4	D4	274	274	1	8	500	95	96	
57	9	Si4b1	B4b1	313	313	1	8	500	95	96	
58	9	La4	A4	305	305	1	16	250	95	96	
59	9	Sol4	G4	296	296	1	16	250	95	96	
60	9	Fa4#4	F4#4	291	291	3	8	1500	95	96	
61	9	Sol4	G4	296	296	1	4	1000	95	96	2. HANE
62	9	Fa4#4	F4#4	291	291	1	8	500	95	96	
63	9	Sol4	G4	296	296	1	4	1000	95	96	
64	9	Si4b1	B4b1	313	313	1	8	500	95	96	
65	9	Do5	C5	318	318	1	8	500	95	96	
66	9	Re5	D5	327	327	3	8	1500	95	96	
67	9	Sol5	G5	349	349	1	4	1000	95	96	
68	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
69	9	Sol5	G5	349	349	1	4	1000	95	96	
70	9	La5	A5	358	358	1	8	500	95	96	
71	9	Si5b5	B5b5	362	362	1	8	500	95	96	
72	9	La5	A5	358	358	1	8	500	95	96	
73	9	Sol5	G5	349	349	1	8	500	95	96	
74	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
75	9	Sol5	G5	349	349	1	4	1000	95	96	
76	9	Si5b5	B5b5	362	362	1	8	500	95	96	
77	9	La5	A5	358	358	1	8	500	95	96	
78	9	Sol5	G5	349	349	1	8	500	95	96	
79	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
80	9	Mi5b4	E5b4	332	332	1	8	500	95	96	
81	9	Re5	D5	327	327	4	8	2000	95	96	
82	9	Do5	C5	318	318	1	16	250	95	96	
83	9	Re5	D5	327	327	1	16	250	95	96	
84	9	Mi5b5	E5b5	331	331	1	8	500	95	96	
85	9	Re5	D5	327	327	1	8	500	95	96	
86	9	Do5	C5	318	318	1	8	500	95	96	
87	9	Si4b5	B4b5	309	309	1	8	500	95	96	
88	9	La4	A4	305	305	1	8	500	95	96	
89	9	Sol4	G4	296	296	4	8	2000	95	96	
90	9	Fa4#4	F4#4	291	291	1	16	250	95	96	
91	9	Sol4	G4	296	296	1	16	250	95	96	
92	9	La4	A4	305	305	1	8	500	95	96	
93	9	Si4b1	B4b1	313	313	3	16	750	95	96	
94	9	Do5	C5	318	318	1	16	250	95	96	
95	9	Si4b1	B4b1	313	313	1	8	500	95	96	
96	9	La4	A4	305	305	1	8	500	95	96	
97	9	Si4b1	B4b1	313	313	3	16	750	95	96	
98	9	La4	A4	305	305	1	16	250	95	96	
99	9	Sol4	G4	296	296	1	8	500	95	96	
100	9	La4	A4	305	305	3	16	750	95	96	
101	9	Si4b1	B4b1	313	313	1	16	250	95	96	
102	9	La4	A4	305	305	1	16	250	95	96	
103	9	Sol4	G4	296	296	1	16	250	95	96	
104	9	Fa4#4	F4#4	291	291	1	16	250	95	96	
105	9	Mi4	E4	283	283	1	16	250	95	96	
106	9	Re4	D4	274	274	1	8	500	95	96	
107	9	Si4b1	B4b1	313	313	1	8	500	95	96	
108	9	La4	A4	305	305	1	16	250	95	96	
109	9	Sol4	G4	296	296	1	16	250	95	96	
110	9	Sol4	G4	296	296	3	8	1500	95	96	
111	9	Sol5	G5	349	349	1	4	1000	95	96	3. HANE
112	9	La5	A5	358	358	1	8	500	95	96	
113	9	Sol5	G5	349	349	1	8	500	95	96	
114	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
115	9	Mi5	E5	336	336	1	8	500	95	96	
116	9	Re5	D5	327	327	1	8	500	95	96	
117	9	Do5	C5	318	318	1	4	1000	95	96	
118	9	Si4b1	B4b1	313	313	1	8	500	95	96	
119	9	La4	A4	305	305	1	4	1000	95	96	
120	9	Mi5	E5	336	336	1	8	500	95	96	
121	9	Re5	D5	327	327	1	8	500	95	96	
122	9	Do5	C5	318	318	1	8	500	95	96	
123	9	Si4b1	B4b1	313	313	1	8	500	95	96	
124	9	La4	A4	305	305	1	8	500	95	96	
125	9	Sol4	G4	296	296	3	8	1500	95	96	
126	9	Sol4	G4	296	296	1	8	500	95	96	
127	9	La4	A4	305	305	1	8	500	95	96	
128	9	Si4b1	B4b1	313	313	1	8	500	95	96	
129	9	Do5	C5	318	318	1	8	500	95	96	
130	9	Re5	D5	327	327	1	8	500	95	96	
131	9	Mi5	E5	336	336	1	8	500	95	96	
132	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
133	9	Sol5	G5	349	349	1	4	1000	95	96	
134	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
135	9	Sol5	G5	349	349	1	4	1000	95	96	
136	9	Si5b1	B5b1	366	366	1	8	500	95	96	
137	9	La5	A5	358	358	1	8	500	95	96	
138	9	Sol5	G5	349	349	1	8	500	95	96	
139	9	Fa5#4	F5#4	344	344	1	8	500	95	96	
140	9	La5	A5	358	358	1	8	500	95	96	
141	9	Sol5	G5	349	349	4	8	2000	95	96	
142	9	Fa4#4	F4#4	291	291	1	16	250	95	96	
143	9	Sol4	G4	296	296	1	16	250	95	96	
144	9	La4	A4	305	305	1	8	500	95	96	
145	9	Si4b1	B4b1	313	313	3	16	750	95	96	
146	9	Do5	C5	318	318	1	16	250	95	96	
147	9	Si4b1	B4b1	313	313	1	8	500	95	96	
148	9	La4	A4	305	305	1	8	500	95	96	
149	9	Si4b1	B4b1	313	313	3	16	750	95	96	
150	9	La4	A4	305	305	1	16	250	95	96	
151	9	Sol4	G4	296	296	1	8	500	95	96	
152	9	La4	A4	305	305	3	16	750	95	96	
153	9	Si4b1	B4b1	313	313	1	16	250	95	96	
154	9	La4	A4	305	305	1	16	250	95	96	
155	9	Sol4	G4	296	296	1	16	250	95	96	
156	9	Fa4#4	F4#4	291	291	1	16	250	95	96	
157	9	Mi4	E4	283	283	1	16	250	95	96	
158	9	Re4	D4	274	274	1	8	500	95	96	
159	9	Si4b1	B4b1	313	313	1	8	500	95	96	
160	9	La4	A4	305	305	1	16	250	95	96	
161	9	Sol4	G4	296	296	1	16	250	95	96	
162	9	Sol4	G4	296	296	3	8	1500	95	96	
163	9	Sol5	G5	349	349	1	8	455	95	96	4. HANE
164	9	Sol5	G5	349	349	1	8	455	95	96	
165	9	Si5b1	B5b1	366	366	1	8	455	95	96	
166	9	La5	A5	358	358	1	8	455	95	96	
167	9	La5	A5	358	358	1	8	455	95	96	
168	9	Sol5	G5	349	349	1	16	227	95	96	
169	9	La5	A5	358	358	1	16	227	95	96	
