Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
1	1	La5	A5	358	358	1	4	667	95	96	
2	9	Re5	D5	327	327	1	16	167	95	96	ARANAÐME
3	9	Re5	D5	327	327	1	8	333	95	96	.
4	9	Re5	D5	327	327	1	16	167	95	96	.
5	9	La5	A5	358	358	1	8	333	95	96	.
6	9	La5	A5	358	358	1	8	333	95	96	.
7	9	Mi5	E5	336	336	1	16	167	95	96	.
8	9	Fa5#4	F5#4	344	344	1	16	167	95	96	.
9	9	Sol5	G5	349	349	1	8	333	95	96	.
10	9	Fa5#1	F5#1	341	341	1	16	167	95	96	.
11	9	Mi5	E5	336	336	1	16	167	95	96	.
12	9	Re5	D5	327	327	2	8	666	95	96	.
13	9	Mi5	E5	336	336	1	8	333	95	96	.
14	9	Fa5	F5	340	340	1	8	333	95	96	.
15	9	Mi5	E5	336	336	1	8	333	95	96	.
16	9	Re5	D5	327	327	1	8	333	95	96	.
17	9	Do5#4	C5#4	322	322	1	8	333	95	96	.
18	9	Si4b4	B4b4	310	310	1	8	333	95	96	.
19	9	La4	A4	305	305	1	8	333	95	96	.
20	9	Si4b4	B4b4	310	310	1	16	167	95	96	.
21	9	La4	A4	305	305	1	16	167	95	96	.
22	9	Si4b4	B4b4	310	310	1	16	167	95	96	.
23	9	Re5	D5	327	327	1	16	167	95	96	.
24	9	Do5#4	C5#4	322	322	1	16	167	95	96	.
25	9	Si4b4	B4b4	310	310	1	16	167	95	96	.
26	9	Si4b4	B4b4	310	310	1	16	167	95	96	.
27	9	La4	A4	305	305	1	16	167	95	96	.
28	9	La4	A4	305	305	3	16	500	95	96	.
29	9	La5	A5	358	358	1	16	167	95	96	.
30	9	La5	A5	358	358	1	16	167	95	96	.
31	9	Sol5	G5	349	349	1	16	167	95	96	.
32	9	Fa5#4	F5#4	344	344	1	16	167	95	96	.
33	9	Mi5	E5	336	336	1	16	167	95	96	.
34	9	Fa5#4	F5#4	344	344	1	16	167	95	84	.
35	9	Sol5	G5	349	349	1	16	167	95	78	.
36	1	La5	A5	358	358	1	4	667	95	96	
37	9	Re5	D5	327	327	1	16	167	95	96	ARANAÐME
38	9	Re5	D5	327	327	1	8	333	95	96	.
39	9	Re5	D5	327	327	1	16	167	95	96	.
40	9	La5	A5	358	358	1	8	333	95	96	.
41	9	La5	A5	358	358	1	8	333	95	96	.
42	9	Mi5	E5	336	336	1	16	167	95	96	.
43	9	Fa5#4	F5#4	344	344	1	16	167	95	96	.
44	9	Sol5	G5	349	349	1	8	333	95	96	.
45	9	Fa5#1	F5#1	341	341	1	16	167	95	96	.
46	9	Mi5	E5	336	336	1	16	167	95	96	.
47	9	Re5	D5	327	327	2	8	666	95	96	.
